pair_id,episode_id,step_index,planner_phase,vision_backbone_output_pooled_cosine_distance,vision_backbone_output_pooled_l2,vision_backbone_output_token_mean_l2_per_token,projector_output_pooled_cosine_distance,projector_output_pooled_l2,projector_output_token_mean_l2_per_token
episode_000001_000000,episode_000001,0,hold,0.07763140208763852,61.61603242517791,11.321553267428722,0.03371589438198319,6.701843482869587,1.610459471575239
episode_000001_000001,episode_000001,1,hold,0.07865701928365121,61.947268147043026,11.367463366602509,0.03417019184871839,6.681154762643824,1.6175763478211387
episode_000001_000002,episode_000001,2,alignment,0.08025906386519344,62.522821348469705,11.404455674387393,0.03489843036812024,6.709409567615898,1.6201632638123982
episode_000001_000003,episode_000001,3,alignment,0.08120927550185242,62.75027945404383,11.451730913003576,0.03557879640833661,6.684747821313954,1.627352177242714
episode_000001_000004,episode_000001,4,alignment,0.08827322230801327,65.72756503374819,11.729995970986446,0.03759128439769843,7.002050927716345,1.66852332902446
episode_000001_000005,episode_000001,5,alignment,0.08899211811717889,66.64397582539878,11.749884681423044,0.038604836103070084,7.271338249890056,1.6600455032111736
episode_000001_000006,episode_000001,6,alignment,0.09172280868298277,67.41679081722471,11.71558358292187,0.038864402206087445,6.987540147009158,1.6344635596759254
episode_000001_000007,episode_000001,7,alignment,0.09656842068330707,68.93248779682308,11.890200577911264,0.039220333655797135,6.975252277473717,1.6577861468082655
episode_000001_000008,episode_000001,8,alignment,0.10015260611305732,69.22572047185074,12.177999511847391,0.04476321412708073,7.285990060525651,1.6875286878871776
episode_000001_000009,episode_000001,9,alignment,0.10695517030030555,71.0642868407591,12.401228710990427,0.047210834956207814,7.6572891083838535,1.7385712515748066
episode_000001_000010,episode_000001,10,alignment,0.1129758943626138,72.49550876817914,12.581696183133426,0.05209330761238029,7.586902873097893,1.7606606454104996
episode_000001_000011,episode_000001,11,alignment,0.09487380539856605,66.55878044999575,12.507671140723849,0.047823636718052454,7.549277413817086,1.8129068538447963
episode_000001_000012,episode_000001,12,alignment,0.09345903890481888,65.36617957190519,12.498702588649211,0.042612682997164586,7.220592880825669,1.771172620292066
episode_000001_000013,episode_000001,13,alignment,0.09698339736123918,65.66822325744405,12.473423369091138,0.04864748527488838,7.5492860582636165,1.7512912380844174
episode_000001_000014,episode_000001,14,alignment,0.10136472560402576,66.72493297169444,12.287342551425995,0.051802083964199275,7.678614401057291,1.7420861769432592
episode_000001_000015,episode_000001,15,alignment,0.09950039139067912,66.8361512932824,12.454560857458048,0.051699072061718976,7.419375913651632,1.7365956061414967
episode_000001_000016,episode_000001,16,alignment,0.11170539812654157,71.24392785573019,12.780336548642683,0.05882524294775526,8.374677193159533,1.7869343061609448
episode_000001_000017,episode_000001,17,alignment,0.10755088338929075,70.60518392608114,12.673670793559468,0.06041127725309825,8.266218297361432,1.7725993683796193
episode_000001_000018,episode_000001,18,alignment,0.10390446145399324,69.43493569301647,12.562956878913136,0.05334736492850456,7.773444693072763,1.7552884795512098
episode_000001_000019,episode_000001,19,alignment,0.10394105241557494,69.53059894514854,12.523360143084131,0.05357357938387519,7.893421540586207,1.7563887128430058
episode_000001_000020,episode_000001,20,descent_to_grasp,0.1037613153620166,69.507304253626,12.538284465197702,0.05319230496948035,7.937306694467694,1.7624375728920227
episode_000001_000021,episode_000001,21,descent_to_grasp,0.10253926894295784,68.983943745667,12.53784882451728,0.05270790479997722,8.06819451324767,1.7762201067776064
episode_000001_000022,episode_000001,22,descent_to_grasp,0.11276564958008406,72.70028330210572,12.707374151174122,0.05398808148666667,8.232764344621192,1.7627502450409056
episode_000001_000023,episode_000001,23,descent_to_grasp,0.13027871998955787,81.08670916700969,13.246567960061496,0.06721837889728166,9.815600225630627,1.8201229135790276
