heldout_episode,gate_method,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,aggregate_reduction_ratio,improved_count,worsened_count
episode_000001,oracle_min_raw_progress,46,0.06746134728281804,0.02011829725668938,0.24554898765328512,0.7863687661721647,44,0
episode_000001,phase_gate_train,46,0.0677175040550319,0.02011829725668938,0.24554898765328512,0.7855575892611554,36,0
episode_000001,progress_all,46,0.06755863415721712,0.02011829725668938,0.24554898765328512,0.7860606858291203,44,2
episode_000001,progress_gate_lambda,46,0.06867542075178105,0.02011829725668938,0.24554898765328512,0.7825241347857668,25,0
episode_000001,progress_gate_min_gap,46,0.06810448171449215,0.02011829725668938,0.24554898765328512,0.784332139159963,27,0
episode_000001,progress_gate_worse_le_1,46,0.06867542075178105,0.02011829725668938,0.24554898765328512,0.7825241347857668,25,0
episode_000001,progress_gate_zero_worse,46,0.08755584390006164,0.02011829725668938,0.293676177850387,0.7227351110734269,22,0
episode_000001,raw_no_correction,46,0.3157841017628767,0.41578369461008097,0.7124799461945037,0.0,0,0
episode_000002,oracle_min_raw_progress,47,0.05209783587830278,0.014072460220571764,0.14673511218828178,0.8485223863529764,46,0
episode_000002,phase_gate_train,47,0.05397241399157891,0.014072460220571764,0.15835590657265744,0.8430719369358968,36,1
episode_000002,progress_all,47,0.053679815560737656,0.014072460220571764,0.15835590657265744,0.8439226845977427,46,1
episode_000002,progress_gate_lambda,47,0.05505121864416042,0.014072460220571764,0.16058104801122514,0.8399352470598321,24,1
episode_000002,progress_gate_min_gap,47,0.05435026719696223,0.014072460220571764,0.16058104801122514,0.8419733058527545,26,1
episode_000002,progress_gate_worse_le_1,47,0.05456031979166392,0.014072460220571764,0.16058104801122514,0.8413625652097055,25,1
episode_000002,progress_gate_zero_worse,47,0.05505121864416042,0.014072460220571764,0.16058104801122514,0.8399352470598321,24,1
episode_000002,raw_no_correction,47,0.34393092565943306,0.2083777077381957,0.7896047975024482,0.0,0,0
episode_000003,oracle_min_raw_progress,44,0.09384449343670326,0.05272375338815349,0.25817264790965117,0.7791398961239008,37,0
episode_000003,phase_gate_train,44,0.09408442840513374,0.05272375338815349,0.25817264790965117,0.7785752166194309,31,3
episode_000003,progress_all,44,0.09433987301434656,0.05272375338815349,0.25817264790965117,0.7779740356565502,37,7
episode_000003,progress_gate_lambda,44,0.09467922279805513,0.05272375338815349,0.25817264790965117,0.7771753864685639,25,0
episode_000003,progress_gate_min_gap,44,0.09433987301434656,0.05272375338815349,0.25817264790965117,0.7779740356565502,37,7
episode_000003,progress_gate_worse_le_1,44,0.09467922279805513,0.05272375338815349,0.25817264790965117,0.7771753864685639,25,0
episode_000003,progress_gate_zero_worse,44,0.10187310580169245,0.05272375338815349,0.271395436611107,0.7602448060021938,22,0
episode_000003,raw_no_correction,44,0.42490468758155286,0.5826249436773976,0.8722576116037616,0.0,0,0
episode_000004,oracle_min_raw_progress,45,0.03423377818770015,0.013007571981472838,0.09621475039997378,0.8975957190101558,40,0
episode_000004,phase_gate_train,45,0.034509892335044416,0.013007571981472838,0.09621475039997378,0.8967697724676829,33,2
episode_000004,progress_all,45,0.035088978229599097,0.013119764670751256,0.09621475039997378,0.8950375396320872,40,5
episode_000004,progress_gate_lambda,45,0.03666778761564333,0.013007571981472838,0.1167918368273935,0.8903148111295124,25,0
episode_000004,progress_gate_min_gap,45,0.035088978229599097,0.013119764670751256,0.09621475039997378,0.8950375396320872,40,5
episode_000004,progress_gate_worse_le_1,45,0.03666778761564333,0.013007571981472838,0.1167918368273935,0.8903148111295124,25,0
episode_000004,progress_gate_zero_worse,45,0.050806246831006194,0.013007571981472838,0.1448218819591168,0.8480221158180242,22,0
episode_000004,raw_no_correction,45,0.334300264176409,0.3391642309243167,0.7486956418268766,0.0,0,0
episode_000005,oracle_min_raw_progress,43,0.11309983091877567,0.01467290284114874,0.41073121437460036,0.7423417190464332,25,0
episode_000005,phase_gate_train,43,0.11336980833333798,0.01467290284114874,0.41073121437460036,0.7417266702354198,25,8
episode_000005,progress_all,43,0.11424499021628619,0.015449730278450957,0.41073121437460036,0.7397328753937273,25,18
episode_000005,progress_gate_lambda,43,0.1133929007917191,0.015449730278450957,0.41073121437460036,0.7416740621715426,25,1
episode_000005,progress_gate_min_gap,43,0.11424499021628619,0.015449730278450957,0.41073121437460036,0.7397328753937273,25,18
episode_000005,progress_gate_worse_le_1,43,0.1133929007917191,0.015449730278450957,0.41073121437460036,0.7416740621715426,25,1
episode_000005,progress_gate_zero_worse,43,0.1162436218152322,0.01467290284114874,0.41073121437460036,0.7351796945634771,22,0
episode_000005,raw_no_correction,43,0.43895282736578406,0.5390252332928213,0.905072595271152,0.0,0,0
