frame,episode_id,heldout_episode,planner_phase,progress,gate_method,raw_gap,progress_gap,selected_gap,gap_reduction
episode_000001_000000,episode_000001,episode_000001,hold,0,raw_no_correction,0.4220153137301213,0.024374758103059443,0.4220153137301213,0.0
episode_000001_000000,episode_000001,episode_000001,hold,0,progress_all,0.4220153137301213,0.024374758103059443,0.024374758103059443,0.39764055562706185
episode_000001_000000,episode_000001,episode_000001,hold,0,phase_gate_train,0.4220153137301213,0.024374758103059443,0.024374758103059443,0.39764055562706185
episode_000001_000000,episode_000001,episode_000001,hold,0,oracle_min_raw_progress,0.4220153137301213,0.024374758103059443,0.024374758103059443,0.39764055562706185
episode_000001_000000,episode_000001,episode_000001,hold,0,progress_gate_min_gap,0.4220153137301213,0.024374758103059443,0.024374758103059443,0.39764055562706185
episode_000001_000000,episode_000001,episode_000001,hold,0,progress_gate_zero_worse,0.4220153137301213,0.024374758103059443,0.024374758103059443,0.39764055562706185
episode_000001_000000,episode_000001,episode_000001,hold,0,progress_gate_worse_le_1,0.4220153137301213,0.024374758103059443,0.024374758103059443,0.39764055562706185
episode_000001_000000,episode_000001,episode_000001,hold,0,progress_gate_lambda,0.4220153137301213,0.024374758103059443,0.024374758103059443,0.39764055562706185
episode_000001_000001,episode_000001,episode_000001,hold,1,raw_no_correction,0.4142746423596497,0.022698954907297758,0.4142746423596497,0.0
episode_000001_000001,episode_000001,episode_000001,hold,1,progress_all,0.4142746423596497,0.022698954907297758,0.022698954907297758,0.39157568745235194
episode_000001_000001,episode_000001,episode_000001,hold,1,phase_gate_train,0.4142746423596497,0.022698954907297758,0.022698954907297758,0.39157568745235194
episode_000001_000001,episode_000001,episode_000001,hold,1,oracle_min_raw_progress,0.4142746423596497,0.022698954907297758,0.022698954907297758,0.39157568745235194
episode_000001_000001,episode_000001,episode_000001,hold,1,progress_gate_min_gap,0.4142746423596497,0.022698954907297758,0.022698954907297758,0.39157568745235194
episode_000001_000001,episode_000001,episode_000001,hold,1,progress_gate_zero_worse,0.4142746423596497,0.022698954907297758,0.022698954907297758,0.39157568745235194
episode_000001_000001,episode_000001,episode_000001,hold,1,progress_gate_worse_le_1,0.4142746423596497,0.022698954907297758,0.022698954907297758,0.39157568745235194
episode_000001_000001,episode_000001,episode_000001,hold,1,progress_gate_lambda,0.4142746423596497,0.022698954907297758,0.022698954907297758,0.39157568745235194
