frame,episode_id,progress,planner_phase,action_chunk_count,action_first_l2,action_first_translation_l2,action_first_rotation_l2,action_first_gripper_abs,action_chunk_mean_l2,action_chunk_max_l2,real_first_translation_norm,sim_first_translation_norm,translation_direction_cosine,real_first_gripper,sim_first_gripper,vision_backbone_output_pooled_cosine_distance,vision_backbone_output_pooled_l2,vision_backbone_output_token_mean_cosine_distance,vision_backbone_output_token_mean_l2_per_token,projector_output_pooled_cosine_distance,projector_output_pooled_l2,projector_output_token_mean_cosine_distance,projector_output_token_mean_l2_per_token
episode_000001_000000,episode_000001,0,hold,5,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.002717770311925334,0.005644687883661278,0.9696522131721169,0.1787109375,0.01361083984375,0.07763140208763852,61.61603242517791,0.07763140208763852,11.321553267428722,0.03371589438198319,6.701843482869587,0.03371589438198319,1.610459471575239
episode_000001_000001,episode_000001,1,hold,5,0.1646573702509476,0.003108546259733557,0.01028174910391418,0.164306640625,0.41514354122574054,0.7033037919066664,0.002730186478846095,0.005690380246888467,0.9710245770943896,0.1767578125,0.012451171875,0.07865701928365121,61.947268147043026,0.07865701928365121,11.367463366602509,0.03417019184871839,6.681154762643824,0.03417019184871839,1.6175763478211387
episode_000001_000002,episode_000001,2,alignment,5,0.17066611948939214,0.003309330358428374,0.010860039681735791,0.1702880859375,0.42997138849174865,0.7211299284537991,0.002683792105642882,0.005834903542725004,0.9673631609542062,0.181640625,0.0113525390625,0.08025906386519344,62.522821348469705,0.08025906386519344,11.404455674387393,0.03489843036812024,6.709409567615898,0.03489843036812024,1.6201632638123982
episode_000001_000003,episode_000001,3,alignment,5,0.16411498513353173,0.003044383576399605,0.010392248973840263,0.16375732421875,0.41875427705474016,0.704150545200969,0.0027411963275897643,0.005635829754149715,0.9712158219978633,0.17578125,0.01202392578125,0.08120927550185242,62.75027945404383,0.08120927550185242,11.451730913003576,0.03557879640833661,6.684747821313954,0.03557879640833661,1.627352177242714
episode_000001_000004,episode_000001,4,alignment,5,0.1893587814709447,0.0028903926254461665,0.009722791829124798,0.1890869140625,0.4980522157810798,0.752952457478686,0.0024426988160892796,0.005204481365014025,0.9714100606274318,0.203125,0.0140380859375,0.08827322230801327,65.72756503374819,0.08827322230801327,11.729995970986446,0.03759128439769843,7.002050927716345,0.03759128439769843,1.66852332902446
episode_000001_000005,episode_000001,5,alignment,5,0.23226048826897397,0.0030070916986414367,0.009276884550876769,0.2320556640625,0.5863490709185128,0.7959406918016114,0.0019414176536588855,0.004804875863777579,0.9548036512495921,0.24609375,0.0140380859375,0.08899211811717889,66.64397582539878,0.08899211811717889,11.749884681423044,0.038604836103070084,7.271338249890056,0.038604836103070084,1.6600455032111736
episode_000001_000006,episode_000001,6,alignment,5,0.35455292286566814,0.00357380257392274,0.010808473170091067,0.3543701171875,0.6856069747586344,0.860928021941375,0.001595470248619403,0.004955364323207354,0.9062009191657463,0.3671875,0.0128173828125,0.09172280868298277,67.41679081722471,0.09172280868298277,11.71558358292187,0.038864402206087445,6.987540147009158,0.038864402206087445,1.6344635596759254
episode_000001_000007,episode_000001,7,alignment,5,0.5256178791823883,0.004124820962496554,0.012557611526872922,0.52545166015625,0.8035838760854747,0.9124925697113019,0.0011843219571093784,0.004870067026390827,0.7027051495817325,0.5390625,0.01361083984375,0.09656842068330707,68.93248779682308,0.09656842068330707,11.890200577911264,0.039220333655797135,6.975252277473717,0.039220333655797135,1.6577861468082655
episode_000001_000008,episode_000001,8,alignment,5,0.36975830119880587,0.004932924074310957,0.01586702523057637,0.369384765625,0.713213669373188,0.8861228694106106,0.0018418790278179357,0.006509311578564366,0.8937052372143357,0.376953125,0.007568359375,0.10015260611305732,69.22572047185074,0.10015260611305732,12.177999511847391,0.04476321412708073,7.285990060525651,0.04476321412708073,1.6875286878871776
episode_000001_000009,episode_000001,9,alignment,5,0.39205001728209254,0.004389696180351584,0.01373756029830637,0.39178466796875,0.7115152631743655,0.8588684199301815,0.001764815704706335,0.005798962280037975,0.8536708625326993,0.400390625,0.00860595703125,0.10695517030030555,71.0642868407591,0.10695517030030555,12.401228710990427,0.047210834956207814,7.6572891083838535,0.047210834956207814,1.7385712515748066
episode_000001_000010,episode_000001,10,alignment,5,0.24606591479817472,0.0028579581812319867,0.009911411133477254,0.245849609375,0.5626869796832417,0.7222288825932577,0.0024239869900032733,0.00488918865299496,0.9117944660323697,0.255859375,0.010009765625,0.1129758943626138,72.49550876817914,0.1129758943626138,12.581696183133426,0.05209330761238029,7.586902873097893,0.05209330761238029,1.7606606454104996
episode_000001_000011,episode_000001,11,alignment,5,0.4351253687166503,0.0035001796644642167,0.009947826928247663,0.43499755859375,0.7078091426930296,0.8627097423615382,0.0016128725135928807,0.004262236839876661,0.6194509796802949,0.4453125,0.01031494140625,0.09487380539856605,66.55878044999575,0.09487380539856605,12.507671140723849,0.047823636718052454,7.549277413817086,0.047823636718052454,1.8129068538447963
episode_000001_000012,episode_000001,12,alignment,5,0.5402390469878231,0.0028896831363723558,0.008707940077852049,0.5401611328125,0.7800609416677184,0.8982556686358422,0.0018517570002263256,0.00436066933362355,0.8727149846392395,0.5546875,0.0145263671875,0.09345903890481888,65.36617957190519,0.09345903890481888,12.498702588649211,0.042612682997164586,7.220592880825669,0.042612682997164586,1.771172620292066
episode_000001_000013,episode_000001,13,alignment,5,0.6079372989800294,0.004231958340257568,0.009449656358595853,0.60784912109375,0.7863229644874554,0.8897122997514065,0.0018945013772664247,0.004705690616028389,0.43876854871476695,0.62109375,0.01324462890625,0.09698339736123918,65.66822325744405,0.09698339736123918,12.473423369091138,0.04864748527488838,7.5492860582636165,0.04864748527488838,1.7512912380844174
episode_000001_000014,episode_000001,14,alignment,5,0.6433077782777848,0.004745880814139908,0.01144368057959996,0.6431884765625,0.8038039638332795,0.9068308677689305,0.0010207951975358589,0.005182804071573834,0.5084598140562978,0.66015625,0.0169677734375,0.10136472560402576,66.72493297169444,0.10136472560402576,12.287342551425995,0.051802083964199275,7.678614401057291,0.051802083964199275,1.7420861769432592
episode_000001_000015,episode_000001,15,alignment,5,0.4693031790476232,0.0033607694161129024,0.007043756290723845,0.46923828125,0.5435955057955972,0.652863695844262,0.0017081184580234777,0.004579272914639808,0.8049561282463663,0.5234375,0.05419921875,0.09950039139067912,66.8361512932824,0.09950039139067912,12.454560857458048,0.051699072061718976,7.419375913651632,0.051699072061718976,1.7365956061414967
episode_000001_000016,episode_000001,16,alignment,5,0.5833696886307106,0.005057960682790249,0.010572124795723701,0.583251953125,0.6126002145558244,0.7529702077839843,0.0010759729597336833,0.004818730948301915,-0.11621228221303251,0.63671875,0.053466796875,0.11170539812654157,71.24392785573019,0.11170539812654157,12.780336548642683,0.05882524294775526,8.374677193159533,0.05882524294775526,1.7869343061609448
episode_000001_000017,episode_000001,17,alignment,5,0.60452831850565,0.004677066980395514,0.004669921968770589,0.6044921875,0.5219080176246764,0.6845812422562849,0.0009690348492886391,0.004145434551187791,-0.46691977888560937,0.68359375,0.0791015625,0.10755088338929075,70.60518392608114,0.10755088338929075,12.673670793559468,0.06041127725309825,8.266218297361432,0.06041127725309825,1.7725993683796193
episode_000001_000018,episode_000001,18,alignment,5,0.6108790165689393,0.0039027276848458002,0.0057119951267461805,0.61083984375,0.42064169094350695,0.6108790165689393,0.0008115141658082178,0.003487124385809303,-0.4262930800249616,0.734375,0.12353515625,0.10390446145399324,69.43493569301647,0.10390446145399324,12.562956878913136,0.05334736492850456,7.773444693072763,0.05334736492850456,1.7552884795512098
episode_000001_000019,episode_000001,19,alignment,5,0.6221162220752599,0.004129967294110575,0.006329569139829566,0.6220703125,0.4422233401029917,0.6221162220752599,0.0006841731399536812,0.0038515026779801886,-0.3329034245577603,0.73046875,0.1083984375,0.10394105241557494,69.53059894514854,0.10394105241557494,12.523360143084131,0.05357357938387519,7.893421540586207,0.05357357938387519,1.7563887128430058
episode_000001_000020,episode_000001,20,descent_to_grasp,5,0.612350428875257,0.0040174902288962425,0.006314838200567434,0.6123046875,0.43987934678956975,0.6162163025128652,0.0006662438137597614,0.0038042733683376663,-0.24143135162156812,0.71484375,0.1025390625,0.1037613153620166,69.507304253626,0.1037613153620166,12.538284465197702,0.05319230496948035,7.937306694467694,0.05319230496948035,1.7624375728920227
episode_000001_000021,episode_000001,21,descent_to_grasp,5,0.5854973666240866,0.004030408763459981,0.006335171185859476,0.58544921875,0.47668975996707175,0.6181700297066574,0.0004680696347618597,0.004315593393820219,0.643376982413844,0.6484375,0.06298828125,0.10253926894295784,68.983943745667,0.10253926894295784,12.53784882451728,0.05270790479997722,8.06819451324767,0.05270790479997722,1.7762201067776064
episode_000001_000022,episode_000001,22,descent_to_grasp,5,0.5883983595474789,0.003757905513767575,0.002961476720744429,0.58837890625,0.5233863768126721,0.6943450565773494,0.0005556295035074991,0.003300292050033049,-0.7965149568819279,0.7109375,0.12255859375,0.11276564958008406,72.70028330210572,0.11276564958008406,12.707374151174122,0.05398808148666667,8.232764344621192,0.05398808148666667,1.7627502450409056
episode_000001_000023,episode_000001,23,descent_to_grasp,5,0.6777511090877039,0.003777292253073848,0.0029008406034901927,0.677734375,0.5197623589072495,0.7080159164025609,0.00044195807744481456,0.00333534566989867,-0.9999705462427196,0.78125,0.103515625,0.13027871998955787,81.08670916700969,0.13027871998955787,13.246567960061496,0.06721837889728166,9.815600225630627,0.06721837889728166,1.8201229135790276
episode_000001_000024,episode_000001,24,descent_to_grasp,5,0.5019596924296714,0.0025255442583840414,0.00046341452681027156,0.501953125,0.26158246283006775,0.5019596924296714,0.0011878994172243712,0.0013515494858988555,-0.978067045183903,0.96875,0.466796875,0.150146692761575,86.18039097570922,0.150146692761575,13.524215217198583,0.09381809330149837,11.027483430700592,0.09381809330149837,1.8557533957567234
episode_000001_000025,episode_000001,25,descent_to_grasp,5,0.3476594770175049,0.001387491959558797,0.0005645016250401323,0.34765625,0.17401650077696906,0.3476594770175049,0.0011526281148141154,0.000252871146939702,-0.9137220652343526,0.97265625,0.625,0.16624538745963413,92.44725673574519,0.16624538745963413,13.888874931000675,0.11383173676264924,11.525173005718523,0.11383173676264924,1.8649741995888705
