pair_id,condition,planner_phase,vision_pooled_cosine,vision_pooled_l2,vision_token_l2,projector_pooled_cosine,projector_pooled_l2,projector_token_l2,hidden_cosine,hidden_l2,action_chunk_mean_l2,action_chunk_max_l2,action_first_l2,translation_l2,rotation_l2,gripper_gap
episode_000001_000000,P0_current_paired_image,hold,0.07753553102033606,61.55415030035275,174.63646139620022,0.0336578785606052,6.698636952329482,25.000981054661185,0.3880458675714845,239.65016992588016,0.41231154319750535,0.6958578495177282,0.1625254011692389,0.0030481909844264003,0.010294300690097548,0.16217041015625
episode_000001_000001,P0_current_paired_image,hold,0.07884637027715691,62.013672093757116,175.656911488457,0.03421385175083458,6.689553663881734,25.116052448221104,0.39482000066085476,237.92230012831894,0.4223623216797792,0.7116071267480509,0.1670498482654469,0.003206364914947832,0.01052668769434712,0.16668701171875
episode_000001_000002,P0_current_paired_image,alignment,0.0803731485381155,62.51747030930744,176.28732394092452,0.03497309805937998,6.674823306825329,25.150269133340803,0.39924466098765676,240.89690769403163,0.4256131782234328,0.7090460723105906,0.16773348645957953,0.0032889659335255572,0.010717819526799937,0.1673583984375
episode_000001_000003,P0_current_paired_image,alignment,0.0811156660363922,62.722531161025515,176.846124423091,0.035430262716700245,6.67933319887319,25.23225719925395,0.39364989531535055,237.02647453021368,0.41285017949567154,0.6993832676048961,0.1612106930683194,0.003105862515682482,0.010663603755923245,0.16082763671875
episode_000001_000004,P0_current_paired_image,alignment,0.08807018487556184,65.65840969659972,182.14042802606252,0.037193688550019366,6.940103274670975,25.996130549877122,0.4109948982311966,237.67950650630036,0.48417276680635213,0.7412302421521341,0.1819778485287944,0.002810600444077887,0.009620009187896647,0.18170166015625
episode_000001_000005,P0_current_paired_image,alignment,0.0893092485264182,66.7494189719744,182.033773355259,0.03858055265083338,7.23793158377052,25.857565791594837,0.40940132235644033,226.78998868675822,0.5909889849440597,0.795943028075068,0.2351925544684024,0.0030267371012261952,0.009394737406695964,0.2349853515625
episode_000001_000006,P0_current_paired_image,alignment,0.09171052629360343,67.41576880684725,181.44183710604,0.038920942530599856,6.991350976528825,25.423926495282572,0.4488413990858149,252.74786498128694,0.6863385817761137,0.8599479071525894,0.3565086146262137,0.003604260726410429,0.010915524921249585,0.3563232421875
episode_000001_000007,P0_current_paired_image,alignment,0.0963834884000846,68.89210367183088,184.7268206986609,0.03925618056593361,6.993539620309784,25.791562945016157,0.49952165014582484,279.3962471061215,0.8060112656264113,0.9120023827845697,0.5329972006729692,0.0041480222994006635,0.012394871866100776,0.5328369140625
episode_000001_000008,P0_current_paired_image,alignment,0.10012628929498835,69.20217157074178,189.1033595912993,0.04474462735754425,7.275234207544857,26.18061857226325,0.5050271139184104,289.0305565014279,0.7153425925746336,0.8894189251459025,0.3734131652210291,0.004898457384422971,0.015793230460387567,0.373046875
episode_000001_000009,P0_current_paired_image,alignment,0.10686031133216412,71.04543935636421,193.18941906541517,0.04692961463848666,7.6070920694959066,27.000725384982502,0.48988753580550615,267.99328257107715,0.7096439937759634,0.8538599476144265,0.3920410943278778,0.004314101125050118,0.013504892369031808,0.39178466796875
