frame,episode_id,progress,planner_phase,method,token_count,tokens,delta_hidden_norm,hidden_shift_norm,hidden_after_gap,repr_gap_reduction_ratio,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2,gap_to_sim_first_l2,gap_to_sim_first_translation_l2,gap_to_sim_first_rotation_l2,gap_to_sim_first_gripper_abs,gap_to_sim_chunk_mean_l2,gap_to_sim_chunk_max_l2,action_gap_reduction,action_gap_reduction_ratio
episode_000001_000000,episode_000001,0,hold,no_correction,0,,238.58495004610228,0.0,238.58495004610228,0.0,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.16472198192900817,0.003087321407456249,0.010485804572880942,0.16435889899730682,0.4220152481526214,0.7055274445084407,-3.315898690203767e-05,-7.857913345941937e-05
episode_000001_000000,episode_000001,0,hold,top1,1,4,238.58495004610228,61.36393916028712,230.55855082653883,0.03364168283880641,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.09614121781681424,0.002112493660226625,0.007574651881492875,0.09581907838582993,0.4082990953244311,0.7055274444796827,0.013682993841288293,0.032425532250291204
episode_000001_000000,episode_000001,0,hold,top2,2,"4,3",238.58495004610228,92.60874753735217,219.87814413457306,0.0784073174268304,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.05795580386637786,0.0020106633030572726,0.00638244852982104,0.05756819248199463,0.40066201251798994,0.7055274444796827,0.021320076647729447,0.05052365300593765
episode_000001_000000,episode_000001,0,hold,top3,3,"4,3,1",238.58495004610228,121.23945188553301,205.48424196272728,0.13873761977433563,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.03166455281235438,0.0013199826188403582,0.004246794722101118,0.031350698322057724,0.39540376230870544,0.7055274444796827,0.026578326857013945,0.06298449043076848
episode_000001_000000,episode_000001,0,hold,top5,5,"4,3,1,9,10",238.58495004610228,137.34875070585633,195.0848509445099,0.18232541110906939,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.03166455281235438,0.0013199826188403582,0.004246794722101118,0.031350698322057724,0.3657944872732134,0.7055274444796827,0.05618760189250599,0.13315162736786249
episode_000001_000000,episode_000001,0,hold,top10,10,"4,3,1,9,10,5,0,11,12,2",238.58495004610228,174.99055970762004,162.17608455538377,0.3202585304561493,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.004339095112463313,0.00033538194650650815,0.0009971511226544842,0.004209626466035843,0.34113025032969707,0.7055274445084407,0.08085183883602232,0.1916001671916233
episode_000001_000000,episode_000001,0,hold,top15,15,"4,3,1,9,10,5,0,11,12,2,13,8,17,16,18",238.58495004610228,188.27233399232634,146.54796703326542,0.38576189736633576,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.004339095112463313,0.00033538194650650815,0.0009971511226544842,0.004209626466035843,0.2802287254510337,0.7055274445084407,0.14175336371468567,0.33592270229985227
episode_000001_000000,episode_000001,0,hold,top20,20,"4,3,1,9,10,5,0,11,12,2,13,8,17,16,18,15,14,6,19,20",238.58495004610228,197.96740160613987,133.16037807776925,0.44187435941773195,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,8.536151283915257e-05,1.4343563186810736e-05,7.691748066988189e-05,3.4125521779060364e-05,0.24797140077245236,0.7055274444796827,0.17401068839326703,0.4123651047306184
episode_000001_000000,episode_000001,0,hold,bottom5,5,"30,29,31,34,28",238.58495004610228,86.76074364110201,222.25065073322978,0.06846324258808525,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.16472198197175308,0.0030873227999133252,0.010485804834383591,0.16435889899730682,0.30808142552479834,0.5262075892843645,0.11390066364092105,0.26991824194744524
episode_000001_000000,episode_000001,0,hold,bottom10,10,"30,29,31,34,28,33,32,26,23,24",238.58495004610228,119.30326719719696,206.6143964601096,0.13400071370727681,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.16472198192900817,0.003087321407456249,0.010485804572880942,0.16435889899730682,0.2169578004507776,0.42280033791937716,0.2050242887149418,0.48586016795235437
episode_000001_000000,episode_000001,0,hold,all35_full_delta,35,"4,3,1,9,10,5,0,11,12,2,13,8,17,16,18,15,14,6,19,20,25,21,27,7,22,24,23,26,32,33,28,34,31,29,30",238.58495004610228,238.58495004610228,0.0,1.0,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,8.536150921317518e-05,1.4344076902370668e-05,7.69173808464429e-05,3.4125521779060364e-05,0.00022597643450158992,0.0005037002442453598,0.4217561127312178,0.9994644880901264
episode_000001_000001,episode_000001,1,hold,no_correction,0,,238.02088628054506,0.0,238.02088628054506,0.0,0.1646573702509476,0.003108546259733557,0.01028174910391418,0.164306640625,0.41514354122574054,0.7033037919066664,0.16384114951432158,0.0031011237938145648,0.010290584308934014,0.1634882539510727,0.41427468111886157,0.7008262429331715,0.000868860106878977,0.002092914909174803
episode_000001_000001,episode_000001,1,hold,top1,1,4,238.02088628054506,60.5247140428419,230.1970922835655,0.03287019941501263,0.1646573702509476,0.003108546259733557,0.01028174910391418,0.164306640625,0.41514354122574054,0.7033037919066664,0.09633343417459514,0.0021776571485699783,0.007586541550042008,0.09600954502820969,0.4007731380457803,0.7008262429074911,0.014370403179960245,0.034615504645768104
episode_000001_000001,episode_000001,1,hold,top2,2,"4,3",238.02088628054506,92.12279015814266,219.47057624942565,0.07793563968690945,0.1646573702509476,0.003108546259733557,0.01028174910391418,0.164306640625,0.41514354122574054,0.7033037919066664,0.058164571631924684,0.0020770858516187666,0.006451934835307522,0.05776829272508621,0.39313936552851353,0.7008262429074911,0.022004175697227013,0.053003777036391156
episode_000001_000001,episode_000001,1,hold,top3,3,"4,3,1",238.02088628054506,119.4149809286259,205.89804427335406,0.1349580808187109,0.1646573702509476,0.003108546259733557,0.01028174910391418,0.164306640625,0.41514354122574054,0.7033037919066664,0.03270977832327406,0.0014178743061301561,0.004406907040217901,0.03238052502274513,0.3880484068624875,0.7008262429074911,0.02709513436325306,0.0652669057147144
