frame,episode_id,progress,planner_phase,delta_hidden_norm,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2
episode_000001_000000,episode_000001,0,hold,238.58474731445312,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314
episode_000001_000001,episode_000001,1,hold,238.0206756591797,0.1646573702509476,0.003108546259733557,0.01028174910391418,0.164306640625,0.41514354122574054,0.7033037919066664
episode_000001_000002,episode_000001,2,alignment,241.32904052734375,0.17066611948939214,0.003309330358428374,0.010860039681735791,0.1702880859375,0.42997138849174865,0.7211299284537991
episode_000001_000003,episode_000001,3,alignment,238.16282653808594,0.16411498513353173,0.003044383576399605,0.010392248973840263,0.16375732421875,0.41875427705474016,0.704150545200969
episode_000001_000004,episode_000001,4,alignment,238.11753845214844,0.1893587814709447,0.0028903926254461665,0.009722791829124798,0.1890869140625,0.4980522157810798,0.752952457478686
episode_000001_000005,episode_000001,5,alignment,226.62326049804688,0.23226048826897397,0.0030070916986414367,0.009276884550876769,0.2320556640625,0.5863490709185128,0.7959406918016114
episode_000001_000006,episode_000001,6,alignment,252.46026611328125,0.35455292286566814,0.00357380257392274,0.010808473170091067,0.3543701171875,0.6856069747586344,0.860928021941375
episode_000001_000007,episode_000001,7,alignment,280.508056640625,0.5256178791823883,0.004124820962496554,0.012557611526872922,0.52545166015625,0.8035838760854747,0.9124925697113019
episode_000001_000008,episode_000001,8,alignment,290.5002136230469,0.36975830119880587,0.004932924074310957,0.01586702523057637,0.369384765625,0.713213669373188,0.8861228694106106
episode_000001_000009,episode_000001,9,alignment,269.0467834472656,0.39205001728209254,0.004389696180351584,0.01373756029830637,0.39178466796875,0.7115152631743655,0.8588684199301815
episode_000001_000010,episode_000001,10,alignment,244.9085693359375,0.24606591479817472,0.0028579581812319867,0.009911411133477254,0.245849609375,0.5626869796832417,0.7222288825932577
episode_000001_000011,episode_000001,11,alignment,252.45217895507812,0.4351253687166503,0.0035001796644642167,0.009947826928247663,0.43499755859375,0.7078091426930296,0.8627097423615382
episode_000001_000012,episode_000001,12,alignment,258.07440185546875,0.5402390469878231,0.0028896831363723558,0.008707940077852049,0.5401611328125,0.7800609416677184,0.8982556686358422
episode_000001_000013,episode_000001,13,alignment,252.9636688232422,0.6079372989800294,0.004231958340257568,0.009449656358595853,0.60784912109375,0.7863229644874554,0.8897122997514065
episode_000001_000014,episode_000001,14,alignment,266.6029357910156,0.6433077782777848,0.004745880814139908,0.01144368057959996,0.6431884765625,0.8038039638332795,0.9068308677689305
episode_000001_000015,episode_000001,15,alignment,259.95587158203125,0.4693031790476232,0.0033607694161129024,0.007043756290723845,0.46923828125,0.5435955057955972,0.652863695844262
episode_000001_000016,episode_000001,16,alignment,262.4941101074219,0.5833696886307106,0.005057960682790249,0.010572124795723701,0.583251953125,0.6126002145558244,0.7529702077839843
episode_000001_000017,episode_000001,17,alignment,261.57281494140625,0.60452831850565,0.004677066980395514,0.004669921968770589,0.6044921875,0.5219080176246764,0.6845812422562849
episode_000001_000018,episode_000001,18,alignment,264.90191650390625,0.6108790165689393,0.0039027276848458002,0.0057119951267461805,0.61083984375,0.42064169094350695,0.6108790165689393
episode_000001_000019,episode_000001,19,alignment,266.8470458984375,0.6221162220752599,0.004129967294110575,0.006329569139829566,0.6220703125,0.4422233401029917,0.6221162220752599
episode_000001_000020,episode_000001,20,descent_to_grasp,263.11517333984375,0.612350428875257,0.0040174902288962425,0.006314838200567434,0.6123046875,0.43987934678956975,0.6162163025128652
episode_000001_000021,episode_000001,21,descent_to_grasp,254.11216735839844,0.5854973666240866,0.004030408763459981,0.006335171185859476,0.58544921875,0.47668975996707175,0.6181700297066574
episode_000001_000022,episode_000001,22,descent_to_grasp,252.87237548828125,0.5883983595474789,0.003757905513767575,0.002961476720744429,0.58837890625,0.5233863768126721,0.6943450565773494
episode_000001_000023,episode_000001,23,descent_to_grasp,260.04840087890625,0.6777511090877039,0.003777292253073848,0.0029008406034901927,0.677734375,0.5197623589072495,0.7080159164025609
episode_000001_000024,episode_000001,24,descent_to_grasp,290.2049560546875,0.5019596924296714,0.0025255442583840414,0.00046341452681027156,0.501953125,0.26158246283006775,0.5019596924296714
episode_000001_000025,episode_000001,25,descent_to_grasp,317.417236328125,0.3476594770175049,0.001387491959558797,0.0005645016250401323,0.34765625,0.17401650077696906,0.3476594770175049
episode_000001_000026,episode_000001,26,descent_to_grasp,316.01214599609375,0.21484490102742287,0.0006376350534642863,0.0002966562981462184,0.21484375,0.09493613936344455,0.21484490102742287
episode_000001_000027,episode_000001,27,descent_to_grasp,312.75457763671875,0.19922289855502806,0.0012414841995983107,0.0003341767296649914,0.19921875,0.09097468706570148,0.19922289855502806
episode_000001_000028,episode_000001,28,grasp_close,294.32672119140625,0.031703617438525594,0.0052589291876880394,0.0009489586330640773,0.03125,0.00895170152577034,0.031703617438525594
episode_000001_000029,episode_000001,29,grasp_close,295.9760437011719,0.024095724511811443,0.005505004942498176,0.0009911882173338387,0.0234375,0.007440796913528912,0.024095724511811443
episode_000001_000030,episode_000001,30,grasp_close,309.1188659667969,0.013145267172327975,0.005857619481044977,0.001075751590594173,0.01171875,0.005241390681510411,0.013145267172327975
episode_000001_000031,episode_000001,31,grasp_close,291.78692626953125,0.006352705524101168,0.004973737405930198,0.0006000121917896601,0.00390625,0.0036036090292487265,0.006835698765029645
episode_000001_000032,episode_000001,32,grasp_close,282.1313171386719,0.005929717795778747,0.004431413539093142,0.0005151098141339855,0.00390625,0.003380971684577449,0.005929717795778747
episode_000001_000033,episode_000001,33,grasp_close,282.0614929199219,0.0059823744474464015,0.004501630465325034,0.0005151098141339855,0.00390625,0.0033675049870654115,0.0059823744474464015
episode_000001_000034,episode_000001,34,grasp_close,281.16168212890625,0.006058127701353318,0.004602166998238737,0.0005120362328260479,0.00390625,0.0033583564279570577,0.006058127701353318
episode_000001_000035,episode_000001,35,grasp_close,280.5321960449219,0.00595231396883494,0.004461604464816487,0.0005151098141339855,0.00390625,0.00332107857317197,0.00595231396883494
episode_000001_000036,episode_000001,36,grasp_close,281.67962646484375,0.006115361375760442,0.004672382372750075,0.000554705918894885,0.00390625,0.0034096624885263465,0.006115361375760442
episode_000001_000037,episode_000001,37,grasp_close,282.5629577636719,0.006196590370734668,0.004782965822212711,0.0005120362328260479,0.00390625,0.0034098594994841002,0.006196590370734668
episode_000001_000038,episode_000001,38,lift,284.73272705078125,0.006080879295243561,0.004631734644839305,0.0005151098141339855,0.00390625,0.003387223020251605,0.006080879295243561
episode_000001_000039,episode_000001,39,lift,273.2176513671875,0.005560539632902408,0.003938697129220801,0.00038402717461953617,0.00390625,0.002997819595259317,0.005560539632902408
episode_000001_000040,episode_000001,40,lift,261.4720458984375,0.003281137669607108,0.0032747679468331063,0.0002043509268617205,0.0,0.0024363204749320486,0.0033826607907666917
episode_000001_000041,episode_000001,41,lift,264.46673583984375,0.0031781563703126617,0.0031743341866841295,0.00015582164614506703,0.0,0.0021285511738053167,0.004044140895727423
episode_000001_000042,episode_000001,42,lift,261.9967956542969,0.006198710746112487,0.004801411434653443,0.00033417672966499156,0.00390625,0.0032982858734756622,0.006198710746112487
episode_000001_000043,episode_000001,43,lift,272.7283020019531,0.009455498498125265,0.005313705674635339,0.0003685479634963777,0.0078125,0.005668335185239355,0.009455498498125265
episode_000001_000044,episode_000001,44,lift,275.82794189453125,0.01663955360789427,0.005715430170508499,0.00026072444463163305,0.015625,0.006268481883247962,0.01663955360789427
episode_000001_000045,episode_000001,45,lift,280.6492614746094,0.02040115713360152,0.0058863809652595755,0.00029665629814621823,0.01953125,0.007141096362907787,0.02040115713360152
episode_000002_000000,episode_000002,0,hold,335.22509765625,0.4557508500016291,0.005109756532275237,0.01591177324618405,0.4554443359375,0.7715834668403181,0.911734381238218
episode_000002_000001,episode_000002,1,hold,338.7680969238281,0.45656608479053234,0.0053217605000386034,0.016472550292526447,0.45623779296875,0.7732235697479676,0.916940936814543
episode_000002_000002,episode_000002,2,alignment,336.49176025390625,0.4551724231613269,0.005399792543970254,0.01669801498976348,0.454833984375,0.7719745623964481,0.9138350171990975
episode_000002_000003,episode_000002,3,alignment,335.5252685546875,0.44004472294781766,0.005333980306020187,0.01664996847488824,0.439697265625,0.7664222356855166,0.9132594526442899
episode_000002_000004,episode_000002,4,alignment,337.5243225097656,0.3819359274008768,0.0049656590185227605,0.01616740583432435,0.381561279296875,0.7269631823155451,0.8872546836897444
episode_000002_000005,episode_000002,5,alignment,285.39947509765625,0.3891853994523963,0.004470432303299541,0.013770372991231614,0.388916015625,0.750449995559426,0.9175790919316286
episode_000002_000006,episode_000002,6,alignment,255.49710083007812,0.4463519694032068,0.0034239154502977796,0.009945099598092678,0.44622802734375,0.7562483328390552,0.9084554748699494
episode_000002_000007,episode_000002,7,alignment,253.22784423828125,0.5168373040161492,0.004622403771789293,0.012617146632579025,0.51666259765625,0.8149067915087562,0.9418450922556202
episode_000002_000008,episode_000002,8,alignment,240.5692138671875,0.45267421051533396,0.0036814800090799226,0.008697021919801155,0.45257568359375,0.7636671864130511,0.9289254900049916
episode_000002_000009,episode_000002,9,alignment,222.3016815185547,0.29841895071432667,0.0025716195242129884,0.00637138522520862,0.29833984375,0.6354297707593926,0.8485543519575993
episode_000002_000010,episode_000002,10,alignment,224.1094512939453,0.2333232007904469,0.0029239093828879476,0.00838096830588369,0.233154296875,0.6082216776924163,0.8249897189329531
episode_000002_000011,episode_000002,11,alignment,219.00668334960938,0.37708850699626734,0.0027093401215855964,0.006980302748234295,0.37701416015625,0.707045724693409,0.9064337463465998
