frame,vision_backbone_output_before_cosine_distance,vision_backbone_output_after_cosine_distance,vision_backbone_output_before_l2,vision_backbone_output_after_l2,vision_backbone_output_cosine_improvement,vision_backbone_output_l2_improvement,vision_backbone_output_shift_norm,projector_output_before_cosine_distance,projector_output_after_cosine_distance,projector_output_before_l2,projector_output_after_l2,projector_output_cosine_improvement,projector_output_l2_improvement,projector_output_shift_norm
episode_000001_000000,0.07763140208763852,0.010163075184965953,61.61603242517791,22.82111078529031,0.06746832690267257,38.794921639887605,58.72733182648256,0.03371589438198319,0.003821150462385625,6.701843482869587,2.1508518840143473,0.029894743919597566,4.55099159885524,6.381329675046923
episode_000001_000001,0.07865701928365121,0.010898346593751773,61.947268147043026,23.634066771855725,0.06775867268989944,38.313201375187305,58.43498580777369,0.03417019184871839,0.0040310120542010885,6.681154762643824,2.222149742910473,0.0301391797945173,4.45900501973335,6.4127173811308475
episode_000001_000002,0.08025906386519344,0.011759339734652485,62.522821348469705,24.55020912336894,0.06849972413054095,37.97261222510076,58.25084333677959,0.03489843036812024,0.004281591626319026,6.709409567615898,2.3050262500534946,0.03061683874180121,4.404383317562404,6.404961545087458
episode_000001_000003,0.08120927550185242,0.012346560736584133,62.75027945404383,25.189647048398836,0.06886271476526828,37.560632405644995,58.01362201450036,0.03557879640833661,0.004463708257296917,6.684747821313954,2.409370889629639,0.031115088151039694,4.275376931684315,6.433263009230365
episode_000001_000004,0.08827322230801327,0.01544110104064278,65.72756503374819,28.20359660346451,0.07283212126737049,37.52396843028368,57.86472871847866,0.03759128439769843,0.00522037753838589,7.002050927716345,2.5739575121685747,0.03237090685931254,4.428093415547771,6.499726665590196
episode_000001_000005,0.08899211811717889,0.013867943691235007,66.64397582539878,26.99023193051957,0.07512417442594388,39.65374389487921,57.89710331818915,0.038604836103070084,0.005879558147287578,7.271338249890056,2.679842222508748,0.032725277955782506,4.591496027381308,6.57544417461014
episode_000001_000006,0.09172280868298277,0.017689015761916504,67.41679081722471,30.541498952489555,0.07403379292106627,36.87529186473515,58.04565377230697,0.038864402206087445,0.008092924362346876,6.987540147009158,3.168694234954894,0.03077147784374057,3.8188459120542637,6.691991535647583
episode_000001_000007,0.09656842068330707,0.018600569587917892,68.93248779682308,31.226601042381468,0.07796785109538917,37.705886754441615,58.16530942920337,0.039220333655797135,0.008078854478721587,6.975252277473717,3.200929896099613,0.03114147917707555,3.774322381374104,6.815502760802987
episode_000001_000008,0.10015260611305732,0.02440701545943924,69.22572047185074,35.58041064238475,0.07574559065361808,33.64530982946599,58.0509865773739,0.04476321412708073,0.009260344365220163,7.285990060525651,3.20213882738505,0.03550286976186057,4.083851233140601,6.940165553119548
episode_000001_000009,0.10695517030030555,0.030164975626582602,71.0642868407591,39.07651321417638,0.07679019467372294,31.987773626582715,58.11569630185704,0.047210834956207814,0.012707349012472058,7.6572891083838535,3.769192249248743,0.03450348594373576,3.8880968591351106,7.117314190345287
