frame,vision_backbone_output_before_cosine_distance,vision_backbone_output_after_cosine_distance,vision_backbone_output_before_l2,vision_backbone_output_after_l2,vision_backbone_output_cosine_improvement,vision_backbone_output_l2_improvement,vision_backbone_output_shift_norm,projector_output_before_cosine_distance,projector_output_after_cosine_distance,projector_output_before_l2,projector_output_after_l2,projector_output_cosine_improvement,projector_output_l2_improvement,projector_output_shift_norm
000000,0.0808528424717272,0.0009474833270299854,62.70858207961523,6.924784652353464,0.07990535914469721,55.78379742726177,62.232300950907536,0.03567224842598615,0.00045362854812058817,6.631615275552692,0.7286178137113798,0.035218619877865565,5.902997461841312,6.650635747128883
000001,0.08224537294366652,0.0017279256856128633,63.13820849636569,9.346963331665071,0.08051744725805365,53.79124516470062,61.867762540585616,0.036641623410563096,0.0008852530631895394,6.665305169021642,1.0433519232217314,0.035756370347373556,5.621953245799911,6.688009041672836
000002,0.0826165243500736,0.0023523514252419275,63.15328632911254,10.963412422944488,0.08026417292483168,52.18987390616805,61.70343625887249,0.03671165573722601,0.0012307516221357062,6.611371738553447,1.3192333016315163,0.035480904115090306,5.292138436921931,6.749015904361912
000003,0.08262450732040116,0.0031573630839726308,63.161725644605895,12.744702218060809,0.07946714423642853,50.417023426545086,61.79080969670092,0.037302998421618216,0.0015848286067092765,6.686260265360639,1.477661465612777,0.03571816981490894,5.208598799747862,6.832455489764187
000004,0.0817277777201958,0.002916856141738977,63.14092881009053,12.209368563164642,0.07881092157845682,50.93156024692588,61.99132031431987,0.03657172154416333,0.0013146903897917062,6.883130226807529,1.273500327280064,0.03525703115437162,5.609629899527465,6.910209024490491
000005,0.08010449348632553,0.004297524811949893,62.5805281453777,14.850059774433888,0.07580696867437564,47.73046837094381,62.22959157212438,0.03622928511684642,0.0018328801375583348,6.930279680713902,1.5047635654319451,0.03439640497928809,5.425516115281956,6.97495414962556
000006,0.07935520975986399,0.002890487015185572,62.95103872121701,12.287091071280287,0.07646472274467842,50.66394764993672,62.74093599162492,0.03690250894379821,0.001399175014984655,7.299100335752333,1.315902596953711,0.03550333392881355,5.983197738798622,7.123108444085412
000007,0.07985266583137807,0.0024857651385515878,63.91432012674852,11.504311219579016,0.07736690069282648,52.410008907169505,63.467020782903134,0.03633919015677933,0.0010828064388473946,7.538494731893908,1.2052930728451534,0.03525638371793194,6.333201659048755,7.2872673612239875
000008,0.08623644493070493,0.002307911444097477,66.41464220489011,11.131713084188739,0.08392853348660745,55.282929120701375,64.45345724343125,0.04041904725269341,0.0010293878746934215,7.892138544583911,1.1793771676459386,0.039389659377999986,6.712761376937973,7.504955169738055
000009,0.08946369265436149,0.0022036690042218643,67.85585810498574,10.892633070011163,0.08726002365013963,56.96322503497458,65.52770407824083,0.04213732702602524,0.0011833945289211334,7.99516771295756,1.2200862642940031,0.040953932497104106,6.775081448663557,7.735500619180509
000010,0.09158193134701587,0.002415476136834238,69.02055045540072,11.463776544076076,0.08916645521018163,57.55677391132465,66.58965018546225,0.04351618319783768,0.0014459894376702698,8.00074968460399,1.384351238550815,0.04207019376016741,6.616398446053175,7.938652439677694
000011,0.09513405975314149,0.0023574181957787266,71.26469133995481,11.593425935770792,0.09277664155736276,59.67126540418401,67.7598604017425,0.04382141844990972,0.0009877866834765436,8.502120481291167,1.16424206097848,0.04283363176643318,7.337878420312687,8.147772904578288
000012,0.09807368965814789,0.002419184317861922,72.59049717446894,11.780912248080709,0.09565450534028597,60.809584926388226,68.82346105234389,0.044789951993194466,0.0010666954009478369,8.578411119391712,1.1865166575466979,0.04372325659224663,7.3918944618450135,8.307997244560111
